name,supermarket,priceFrom,priceTo,description,discountTag,image,validUntil
"AH Komkommer, AH Spruitjes of AH Avocado",ah,2.18,1.50,2 zakken of stuks naar keuze,2 VOOR 1.50,,12-07
AH Snoepgroente,ah,5.98,4.00,2 emmers naar keuze,2 VOOR 4.00,,12-07
AH Groente mix,ah,2.09,2.00,2 zakken naar keuze,2 VOOR 2.00,,12-07
Divers Fruit en Sappen,ah,2.89,1.99,Bijv. AH Pitloze rode druiven - Schaal 500 gram,BONUS,,12-07
AH Hand- en perssinaasappelen 2 kilo,ah,5.50,3.50,2 netten naar keuze,2 VOOR 3.50,,12-07
Diverse Groenten,ah,2.09,1.69,Bijv. AH Snijbonen - Zak 400 gram,BONUS,,12-07
AH Blauwe bessen 300 gram,ah,4.99,3.49,Per schaal,30% korting,,12-07
Pink Lady,ah,2.49,1.87,Bijv. schaal 4 stuks - Per stuk,25% KORTING,,12-07
"AH Stamppot-, friet-, oven- of stoomaardappelen",ah,2.59,1.81,Bijv. stamppotaardappelen - Zak 1.5 kilo,30% KORTING,,12-07
AH Snoepfruit,ah,2.25,2.00,Bijv. rode appel - 3 zakjes,3 VOOR 2.00,,12-07
CêlaVíta kruimige of vastkokende aardappelen,ah,2.09,1.57,Bijv. oma's kruimige aardappelen - Zak 900 gram,25% KORTING,,12-07
AH Zongerijpte galia meloen,ah,2.00,1.75,Schaal 200 gram,BONUS,,12-07
Diverse AH Excellent Aardappelen,ah,2.39,1.99,Bijv. Roseval - Zak 1 kilo,BONUS,,12-07
AH Verse fruitsalades,ah,4.00,3.00,2 schalen naar keuze,2 VOOR 3.00,,12-07
AH Pannenkoeken of poffertjes,ah,2.00,1.50,Bijv. pannenkoeken naturel - Pak 8 stuks,25% KORTING,,12-07
AH Bapao en pita,ah,0.79,2.00,Bijv. Bapao rundvlees -  3 stuks,3 VOOR 2.00,,12-07
AH Basismaaltijdsalades en -maaltijden,ah,6.00,5.00,2 schalen,2 VOOR 5.00,,12-07
AH Verse stamppotten of ovenschotels,ah,3.99,2.99,Bijv. verse stamppot andijvie - Schaal 505 gram,1 EURO KORTING,,12-07
Rustlers broodjes,ah,2.75,2.06,Bijv. twin pack ceese burger - Per pak,25% KORTING,,12-07
AH Gerookte kip of makreel,ah,15.75,11.81,Bijv. gerookte kipfilet - Per 250 gram,25% KORTING,,12-07
AH Runderhamburgers naturel 2 of 4 stuks,ah,2.79,2.09,Bijv. 4 stuks- Per schaal,25% KORTING,,12-07
AH Kipfiletblokjes 2 x 175 gram of scharrelkipfiletblokjes 200-320 gram,ah,4.00,3.00,Bijv. kipfiletblokjes 2 x 175 gram - Per schaal,25% KORTING,,12-07
Valess,ah,2.99,5.00,Bijv. Vega schnitzel Milner - 2 schalen à 180 gram,2 VOOR 5.00,,12-07
AH Scharrel kiprollade,ah,11.99,5.00,Bijv. kiprollade - Schaal ca. 500 gram,BONUS,,12-07
AH Mosselen,ah,8.99,6.99,Bijv. mosselen medium - Schaal 2 kilogram,BONUS,,12-07
Garden Gourmet worstjes,ah,2.59,2.07,Bijv. Vegetarische rookworst - Pak 200 gram,20% KORTING,,12-07
"AH Surimi sticks, snippers of flakes",ah,1.29,0.99,Bijv. surimi sticks - Bakje 200 gram,BONUS,,12-07
AH Kip ovenschotel,ah,9.99,8.49,Bijv. kipdijfilet saté ajam - Schaal ca. 400 gram,BONUS,,12-07
AH Vega worstjes,ah,2.69,2.29,Bijv. Mini Worstjes - Schaal 180 gram,15% KORTING,,12-07
AH Filetlapjes à la minute,ah,2.99,2.24,Schaal 350 gram,25% KORTING,,12-07
"AH Varkenshaas naturel
",ah,12.95,9.96,Per 100 gram,BONUS,,12-07
AH Goudse kaas in plakken of stukken van de versafdeling,ah,1.26,0.94,Bijv. jong belegen 48+ in plakken - Per 100 gram,25% KORTING,,12-07
AH Goudse kaas in plakken en stukken van de zelfbedieningsafdeling,ah,2.09,2.92,Bijv. jong 48+ in plakken - 2 pakken à 190 gram,2e HALVE PRIJS,,12-07
AH Biologische kaas,ah,3.29,2.80,Bijv. Geraspte belegen kaas 50+ -  Zak 150 gram,BONUS,,12-07
Diverse AH Vleeswaren van de versafdeling,ah,20.90,18.81,Bijv. Excellent Pain d'Ardenne - Per 100 gram,10% KORTING,,12-07
"Paturain, Chavroux en Le Rustique van de zelfbedieningsafdeling",ah,1.69,2.54,Bijv. Paturain knoflook &amp; fijne kruiden - 2 bakjes,2e HALVE PRIJS,,12-07
AH Excellent Spaanse droge worst van de versafdeling,ah,2.69,4.50,2 stuks,2 VOOR 4.50,,12-07
Philadelphia,ah,1.95,2.93,Bijv. Roomkaas original - 2 bakjes à 200 gram,2e HALVE PRIJS,,12-07
Diverse AH Kazen van de versafdeling,ah,2.75,2.48,Bijv. Goudse jong 48+ blokjes - Bakje 200 gram,10% KORTING,,12-07
Stegeman droge worst,ah,2.59,1.94,"Bijv. licht pittige chorizo - Per stuk, 225 gram",25% KORTING,,12-07
Stegeman vleeswaren,ah,3.38,2.00,Bijv. Vollof boterhamworst - 2 pakken à  215 gram,2 VOOR 2.00,,12-07
Maza,ah,1.54,2.31,Bijv. hoemoes naturel - 2 bakjes à 200 gram,2e HALVE PRIJS,,12-07
AH Filet Americain ei en ui,ah,2.35,2.11,Bakje 150 gram,10% korting,,12-07
Gratis bezorging bij 8 euro aan Johma,ah,,,"di,wo,do,za",Gratis bezorging bij 8 euro,,12-07
"Alle biologische melk, yoghurt of kwark",ah,1.29,0.97,Bijv. Arla halfvolle melk - Pak 1 liter,25% KORTING,,12-07
"Optimel, Vifit en Yoki drink literpakken",ah,1.25,2.00,2 pakken,2 VOOR 2.00,,12-07
Danone Activia 4-packs,ah,1.72,3.00,2 sets van 4 bekers à 125 gram,2 VOOR 3.00,,12-07
AH Smeerbare roomboter en Lurpak roomboter,ah,2.25,3.38,Bijv. AH roomboter ongezouten - 2 kuipjes,2e HALVE PRIJS,,12-07
Melkunie pap,ah,1.79,1.00,Bijv. havermoutpap - Pak 1 liter,BONUS,,12-07
Alle Homemade en Bij Robèrt,ah,1.89,1.42,Bijv. Homemade Compl. mix voor brownies - Per pak,25% KORTING,,12-07
AH Stuks gebak van de bakkerij,ah,6.00,4.50,Bijv. frambozentartelettes - 2 schalen à 4 stuks,2e HALVE PRIJS,,12-07
AH Spelt van de bakkerij,ah,0.99,1.49,Bijv. luxe speltbol - 2 stuks,2e HALVE PRIJS,,12-07
AH Bakkersbollen,ah,1.20,1.80,Bijv. Bakkersbol wit - 2 zakken à 4 stuks,2e HALVE PRIJS,,12-07
Danerolles,ah,1.85,1.39,Bijv. croissants classic - Blik 6 stuks,25% KORTING,,12-07
AH Thuisafbak snacks,ah,1.75,2.63,Bijv. Mini saucijzen hapjes - 2 pakken à 12 stuks,2e HALVE PRIJS,,12-07
AH Appelnotenkoek,ah,2.59,2.09,Per pak,BONUS,,12-07
AH Robuust,ah,1.49,2.24,Bijv. stokbrood wit - 2 pakken,2e HALVE PRIJS,,12-07
AH Franse baguettes,ah,0.89,0.80,Per pak,10% korting,,12-07
"Bolletje ontbijtcrackers, -granen of beschuit",ah,1.65,1.15,Bijv. ontbijtcrackers meerzaden - Pak 270 gram,30% KORTING,,12-07
Snelle Jelle,ah,1.79,2.68,Bijv. zero - 2 sets à 4 stuks,2e HALVE PRIJS,,12-07
"Appelsientje, DubbelDrank of Van de Boom literpakken",ah,1.49,0.99,Per pak,BONUS,,12-07
Fanta en Sprite 1.5 literflessen,ah,1.91,2.87,2 flessen,2 VOOR 1.99,,12-07
"Perla snelfiltermaling, bonen en capsules",ah,4.49,9.02,Bijv. aroma snelfiltermaling 500 gram - 3 pakken,2 + 1 GRATIS,,12-07
Friesche Vlag koffiemelk pakken 450-500 ml,ah,0.40,0.60,Bijv. Halvamel mild &amp; zacht - 2 pakken à 10 cups,2e HALVE PRIJS,,12-07
Rivella en Sourcy 1 en 1.5 liter,ah,1.78,2.67,Bijv. Rivella licht sprankelend - 2 flessen,2e HALVE PRIJS,,12-07
Chocomel en Fristi 1 literpakken,ah,1.52,1.00,Bijv. Chocomel Vol - Per pak,BONUS,,12-07
Innocent,ah,2.29,1.60,Bijv. orange juice with bits - Fles 900 ml,30% KORTING,,12-07
Fanta blikjes 0.33 liter,ah,0.62,0.99,2 blikjes,2 VOOR 0.99,,12-07
Fanta blikjes 6-pack,ah,3.69,2.97,6 blikjes à 0.33 liter,BONUS,,12-07
Spa Touch Of 1 literflessen,ah,1.12,1.68,Bijv. touch of mint - 2 flessen,2e HALVE PRIJS,,12-07
Starbucks,ah,1.69,1.27,Bijv. Chilled classic caramel macchiato - 220 ml,25% KORTING,,12-07
Royal Club en Mountain Dew,ah,0.63,0.47,Bijv. Royal Club with a hint of Grapefruit - 250ml,25% KORTING,,12-07
Caffè Venezia bonen 1.2 kilo,ah,7.79,5.49,Per zak,BONUS,,12-07
Spa Touch Of  Lemon 4-pack,ah,4.59,3.44,4 flessen à 1 liter,25% korting,,12-07
Gratis bezorging bij een 24-pack Red Bull,ah,,,Bijv. Regular,Gratis bezorging,,12-07
Alle Berberana,ah,11.98,5.99,Bijv. Red Dragon Tempranillo - 2 flessen,2=1,,12-07
Wijnfavorieten,ah,6.49,4.99,Bijv. Fed. Paternina Rioja Crianza - Fles 0.75 l,BONUS,,12-07
AH Glühwein,ah,1.49,1.12,Fles 0.75 liter,25% korting,,12-07
Alle Tilia,ah,6.99,4.49,Fles 0.75 liter,BONUS,,12-07
Lapostolle,ah,9.99,7.99,Fles 0.75 liter,2 EURO KORTING,,12-07
"Antinori, Flaxbourne en Campo viejo",ah,6.99,4.99,Bijv. Flaxbourne Sauvignon Blanc - Fles 0.75 liter,BONUS,,12-07
Casa Lapostolle Chardonnay,ah,9.99,6.99,Fles 0.75 liter,3 EURO KORTING,,12-07
AH Excellent Pinot Grigio doc delle Venezie,ah,14.99,9.99,Fles 1.5 liter,BONUS,,12-07
Gratis bezorging bij een Gall klantenkaart,ah,10.00,10.00,Hele week,Gratis bezorging bij aankoop,,12-07
Kerstwijn,ah,6.69,3.35,Bijv. Trivento Cabernet Sauvignon  - Fles 0.75 l,50% KORTING,,12-07
AH Sommos najaarswijnbox,ah,29.06,20.00,Per doos - 4 flessen à 0.75 liter,BONUS,,12-07
Alle overige Heineken,ah,1.00,0.75,Bijv. tarwebok- Flesje 0.3 liter,25% KORTING,,12-07
"Brouwerij 't IJ, Jopen of Gulpener",ah,2.49,1.87,Bijv. Brouwerij 't IJ IJndejaars - Flesje 0.33 l,25% KORTING,,12-07
Heineken pils,ah,16.29,9.99,Krat 24 flesjes à 0.3 liter,BONUS,,12-07
Gratis bezorging bij 3 geselecteerde speciaalbieren,ah,,,hele week,Gratis bezorging bij 2,,12-07
AH Pasta fresca,ah,2.99,2.50,Bijv. ravioli burata pomodoro - Schaal 250 gram,BONUS,,12-07
Sacla,ah,2.99,2.39,Bijv. Gemarineerde artisjokharten - Pot 190 gram,20% KORTING,,12-07
AH Maaltijdpot,ah,3.29,5.00,Bijv. Babi Pangang - 2 potten à 500 gram,2 VOOR 5.00,,12-07
Aardappel Anders,ah,1.79,1.43,Bijv. bacon-ui - Pot 390 ml,20% KORTING,,12-07
Alle Unox*,ah,1.30,0.98,Bijv. Cup a Soup champignon-crème - 2 doosjes,2e HALVE PRIJS,,12-07
Kraft en Heinz mayonaise,ah,2.29,1.00,Bijv. Heinz Ser. good mayo. light topdown - 400 ml,BONUS,,12-07
Mug Shot of Naked noodles,ah,0.99,0.79,Bijv. Mug Shot Creamy cheese pasta - Per stuk,20% KORTING,,12-07
Alle Bunlimited,ah,2.19,1.64,Bijv. 4 classic hot dogs - Per pak,25% KORTING,,12-07
Iliada,ah,7.95,6.76,Bijv. Bio. extra vierge olijfolie - Fles 0.5 liter,15% KORTING,,12-07
AH Stroopwafels en choc chip cookies 140 gram,ah,1.59,2.39,Bijv. stroopwafels - 2 zakken à 12 stuks,2e HALVE PRIJS,,12-07
LU Tuc,ah,0.86,1.29,Bijv. original - 2 pakken à 100 gram,2e HALVE PRIJS,,12-07
Venco stazakken,ah,1.59,2.79,2 zakken,2 VOOR 2.79,,12-07
