name,supermarket,priceFrom,priceTo,description,discountTag,image,validUntil
MILNER,jumbo,"2,98 - 12,72","Nu 2,24 - 9,54",2 verpakkingen à 130-450 gram,2e halve prijs,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Milner.png,2018-12-11 00:00:00
JUMBO LUXE SLA,jumbo,"2,56 - 3,04","Nu 2 voor 2,50",Diverse soorten,2 voor 2.50,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Luxe_sla.png,2018-12-11 00:00:00
WITLOF,jumbo,"0,99","Nu 0,89",Zak 500 gram,1 voor 0.89,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Witlof.png,2018-12-11 00:00:00
JUMBO KIPFILET,jumbo,"3,58 - 4,96","Nu 2,69 - 3,29","2 verpakkingen kipfilet naturel, gerookt, tuinkruiden... ",2e halve prijs,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Jumbo_kipfilet.png,2018-12-11 00:00:00
SCHARRELKIPFILET,jumbo,"6,85 - 6,90","Nu 5,99 per 500 gram",Per 500 gram,"5,99 per 500 gram",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Scharrelkipfilet.png,2018-12-11 00:00:00
GEROOKTE ZALM OF MAKREELFLAKES,jumbo,"7,98 - 8,98","Nu 2 voor 6,00",2 verpakkingen Schotse zalm à 100 gram of makreelflakes à 200 gram,"2 voor 6,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Gerookte_zalm_Makreelflakes.png,2018-12-11 00:00:00
VLUGKLAAR VLEES,jumbo,"4,50 - 5,00","Nu 4,00","Braadworst, varkensblokjes of satéschnitzels...  ","1 voor 4,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Vlugklaar-vlees.png,2018-12-11 00:00:00
AUTODROP OF OLDTIMERS,jumbo,"2,80 - 4,10","Nu 2 voor 2,59",2 doosjes à 235-280 gram,"2 voor 2,59",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Aurodrop_Oldtimers.png,2018-12-11 00:00:00
OPTIMEL OF CAMPINA FRUITYOGHURT,jumbo,"2,98 - 3,48","Nu 2 voor 2,50",2 pakken à 1 liter,"2 voor 2,50",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Optimel.png,2018-12-11 00:00:00
FA OF SCHWARZKOPF,jumbo,"5,19 - 11,85","Nu 3 voor 5,00",M.u.v. Nature Moments 3 verpakkingen,3 voor 5 euro,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Fa_Schwarzkopf.png,2018-12-11 00:00:00
PRODENT OF ZENDIUM TANDPASTA,jumbo,"2,82 - 11,31","Nu 1,88 - 7,54",M.u.v. multipacks 3 verpakkingen,2+1 gratis,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Prodent_Zendium.png,2018-12-11 00:00:00
DETTOL REINIGERS OF HANDZEEP,jumbo,"5,12 - 12,86","Nu 2,56 - 6,43",Alle soorten 2 verpakkingen,1+1 gratis,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Dettol_Reiniger.png,2018-12-11 00:00:00
PRINGLES,jumbo,"3,58 - 4,26","Nu 2 voor 3,00",2 bussen à 160-165 gram,"2 voor 3,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Pringles.png,2018-12-11 00:00:00
DOUWE EGBERTS OPLOSKOFFIE OF SENSEO KOFFIEPADS,jumbo,"5,91 - 8,16","Nu 3 voor 5,00",Cappuccino of latte smaken 3 verpakkingen à 8-10 stuks,"3 voor 5,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Douwe_Egberts_Senseo.png,2018-12-11 00:00:00
STRUIK SOEP IN BLIK,jumbo,"4,34","Nu 2 voor 3,00",2 blikken à 800 ml,"2 voor 3,00",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-49/Struik_soep.png,2018-12-11 00:00:00
